Timestamp,User_ID,IP_Address,Action,Status,System_Name,Service_Change_Ticket
2026-03-08 00:30:37.794475,jdoe_dev,10.192.114.137,CONFIG_CHANGE,SUCCESS,BT_Application_Server, No_Ticket_Found
2026-03-08 03:35:37.794475,skumar_it,10.192.137.14,CONFIG_CHANGE,SUCCESS,Linux_Nix_Gateway, No_Ticket_Found
2026-03-08 03:58:37.794475,skumar_it,10.192.58.96,CONFIG_CHANGE,SUCCESS,BT_Application_Server, No_Ticket_Found
2026-03-08 06:27:37.794475,skumar_it,10.192.58.96,CONFIG_CHANGE,SUCCESS,Linux_Nix_Gateway, No_Ticket_Found
2026-03-08 14:30:37.794475,rsharam_hr,10.192.58.96,CONFIG_CHANGE,SUCCESS,Linux_Nix_Gateway, No_Ticket_Found
2026-03-08 14:47:37.794475,skumar_it,10.192.44.200,CONFIG_CHANGE,ERROR,BT_Application_Server, No_Ticket_Found
2026-03-08 18:35:37.794475,admin_vk,10.192.19.68,CONFIG_CHANGE,SUCCESS,Linux_Nix_Gateway, No_Ticket_Found
2026-03-09 02:07:37.794475,rsharam_hr,10.192.58.96,CONFIG_CHANGE,SUCCESS,Linux_Nix_Gateway, No_Ticket_Found
2026-03-09 04:33:37.794475,skumar_it,10.192.57.137,CONFIG_CHANGE,SUCCESS,Linux_Nix_Gateway, No_Ticket_Found
2026-03-09 04:53:37.794475,rsharam_hr,10.192.149.118,CONFIG_CHANGE,SUCCESS,Linux_Nix_Gateway, No_Ticket_Found
2026-03-09 05:59:37.794475,admin_vk,10.192.57.137,CONFIG_CHANGE,SUCCESS,windows_server_UIC, No_Ticket_Found
2026-03-09 09:19:37.794475,skumar_it,10.192.149.118,CONFIG_CHANGE,SUCCESS,Linux_Nix_Gateway, No_Ticket_Found
2026-03-09 10:27:37.794475,admin_vk,10.192.29.56,CONFIG_CHANGE,ERROR,Linux_Nix_Gateway, No_Ticket_Found
2026-03-09 10:55:37.794475,skumar_it,10.192.29.56,CONFIG_CHANGE,SUCCESS,Linux_Nix_Gateway, No_Ticket_Found
2026-03-09 12:36:37.794475,admin_vk,10.192.33.161,CONFIG_CHANGE,SUCCESS,windows_server_UIC, No_Ticket_Found
2026-03-09 14:10:37.794475,admin_vk,10.192.91.94,CONFIG_CHANGE,SUCCESS,windows_server_UIC, No_Ticket_Found
